algo,target_rps,duration_sec,actual_rps,error_rate,latency_p95_ms,gc_per_min_avg,cpu_usage_avg,qps_avg,success_rate_avg,failure_rate_avg,throughput_avg,resource_usage_avg,reject_queue_full,reject_budget,reject_sampling
TRADITIONAL,3,180,0.46,0.0476,7907.00,14.04,0.0511,1.44,0.9643,0.1042,89.62,0.0000,0,0,37
TRADITIONAL,6,180,0.86,0.2051,6941.00,13.06,0.0460,1.60,0.8814,0.2286,72.83,0.0000,0,0,94
TRADITIONAL,9,180,1.35,0.2222,6862.00,21.35,0.0648,2.82,0.7498,0.2382,120.57,0.0000,0,0,181
OBJECT_POOL,3,180,0.54,0.2525,6301.00,8.26,0.0288,2.65,0.4890,0.5352,44.20,0.0001,0,0,276
OBJECT_POOL,6,180,0.93,0.5000,6110.00,5.12,0.0177,0.98,0.5327,0.4821,35.90,0.0000,0,0,84
OBJECT_POOL,9,180,1.43,0.6667,6129.00,5.24,0.0212,1.38,0.3946,0.6207,35.57,0.0000,0,0,174
