algo,target_rps,duration_sec,actual_rps,error_rate,latency_p95_ms,gc_per_min_avg,cpu_usage_avg,qps_avg,success_rate_avg,failure_rate_avg,throughput_avg,resource_usage_avg,reject_queue_full,reject_budget,reject_sampling
TRADITIONAL,3,180,0.31,0.0000,12677.00,5.62,0.0207,0.34,1.0000,0.0000,26.45,0.0000,0,0,0
TRADITIONAL,6,180,0.59,0.0000,11485.00,8.76,0.0316,0.58,0.9722,0.0000,41.95,0.0000,0,0,0
TRADITIONAL,9,180,0.80,0.0000,11789.00,10.72,0.0479,0.77,0.9542,0.0000,57.52,0.0000,0,0,0
OBJECT_POOL,3,180,0.29,0.0000,14875.00,6.19,0.0180,0.29,1.0000,0.0000,21.92,0.0000,0,0,0
OBJECT_POOL,6,180,0.54,0.1863,11965.00,7.29,0.0264,0.49,0.7941,0.1863,32.65,0.1153,0,0,0
OBJECT_POOL,9,180,0.73,0.0074,13205.00,14.19,0.0457,0.66,0.8963,0.0074,54.68,0.0000,0,0,1
