algo,target_rps,duration_sec,actual_rps,error_rate,latency_p95_ms,gc_per_min_avg,cpu_usage_avg,qps_avg,success_rate_avg,failure_rate_avg,throughput_avg,resource_usage_avg,reject_queue_full,reject_budget,reject_sampling
TRADITIONAL,2,30,1.94,1.0000,482.00,7.16,0.0129,1.68,0.1667,0.0000,0.00,0.0028,0,0,0
TRADITIONAL,4,30,3.97,1.0000,23.00,1.99,0.0076,3.54,0.0000,0.0000,0.00,0.0062,0,0,0
OBJECT_POOL,2,30,1.97,1.0000,13.00,1.96,0.0044,1.93,0.0000,0.0000,0.00,0.0000,0,0,0
OBJECT_POOL,4,30,3.97,1.0000,22.00,7.10,0.0085,3.54,0.0000,0.0000,0.00,0.0000,0,0,0
