second,fixed_accepted,aimd_accepted,fixed_rejected,aimd_rejected,fixed_p95_ms,aimd_p95_ms,fixed_limit,aimd_limit,fixed_gc_freq,aimd_gc_freq
143,108,78,114,148,1921.539,1933.512,95,27,1,1
144,111,75,59,91,2092.688,2143.647,95,28,2,1
145,109,94,70,87,1810.807,2097.326,95,29,1,1
146,111,81,75,104,2046.928,2158.1,95,30,1,1
147,111,100,84,92,2093.619,2093.619,95,31,2,1
148,109,99,92,109,2092.972,2157.154,95,32,1,2
149,110,96,58,69,2027.178,1984.204,95,33,2,1
150,111,92,103,119,2060.648,1974.613,95,34,2,1
151,109,107,68,71,2105.287,2125.287,95,35,1,2
152,109,97,61,74,2050.513,2154.147,95,24,1,1
153,111,66,72,112,2116.786,2201.46,95,24,2,1
154,111,81,64,101,2177.177,2082.114,95,24,1,1
155,109,63,89,133,2100.26,2176.668,95,25,2,1
156,108,57,146,195,2144.679,2171.3,95,26,1,1
157,106,79,152,183,2022.586,2131.111,95,27,2,1
158,110,82,126,154,2015.717,2165.966,95,28,1,1
159,111,84,122,149,2115.118,2004.883,95,29,2,1
160,110,95,170,185,1981.874,2001.404,95,30,1,1
161,109,98,182,193,1866.989,1858.034,95,31,1,1
162,110,99,101,111,2031.743,2104.973,95,32,2,2
163,109,108,147,148,2136.68,1965.419,95,33,1,1
164,111,94,108,125,2130.885,2151.032,95,34,1,1
165,111,103,169,177,1919.604,1959.604,95,35,2,2
166,111,101,135,142,2001.129,2224.868,95,24,1,1
167,110,64,123,169,1943.057,2206.357,95,24,2,1
168,110,66,130,177,2057.508,2047.24,95,24,1,1
169,111,72,133,170,2115.614,2156.334,95,25,1,1
170,111,90,140,165,1891.474,1911.474,95,26,2,1
171,111,71,185,218,2108.839,1928.978,95,27,1,1
172,108,84,185,214,2062.172,1990.986,95,28,1,1
173,110,80,151,179,1681.525,2082.453,95,29,2,1
174,111,91,148,168,2078.827,2078.827,95,30,1,1
175,111,84,175,201,1955.921,1970.211,95,31,1,2
176,111,87,49,54,2026.759,2162.656,95,32,2,1
177,107,92,0,0,1864.742,2023.37,95,33,1,1
178,106,107,0,0,1675.592,1873.798,95,34,2,2
179,111,94,0,0,1485.761,1811.206,95,35,2,1
180,19,72,0,0,1374.426,1754.426,95,36,0,1
181,0,0,0,0,1286.27,1826.27,95,37,0,0
182,0,0,0,0,0.0,0.0,95,38,0,0
183,0,0,0,0,0.0,0.0,95,39,0,0
184,0,0,0,0,0.0,0.0,95,40,0,0
185,0,0,0,0,0.0,0.0,95,41,0,0
186,0,0,0,0,0.0,0.0,95,42,0,0
187,0,0,0,0,0.0,0.0,95,43,0,0
188,0,0,0,0,0.0,0.0,95,44,0,0
189,0,0,0,0,0.0,0.0,95,45,0,0
190,0,0,0,0,0.0,0.0,95,46,0,0
191,0,0,0,0,0.0,0.0,95,47,0,0
192,0,0,0,0,0.0,0.0,95,48,0,0
193,0,0,0,0,0.0,0.0,95,49,0,0
194,0,0,0,0,0.0,0.0,95,50,0,0
195,0,0,0,0,0.0,0.0,95,51,0,0
196,0,0,0,0,0.0,0.0,95,52,0,0
197,0,0,0,0,0.0,0.0,95,53,0,0
198,0,0,0,0,0.0,0.0,95,54,0,0
