algo,target_rps,duration_sec,actual_rps,error_rate,latency_p95_ms,gc_per_min_avg,cpu_usage_avg,qps_avg,success_rate_avg,failure_rate_avg,throughput_avg,resource_usage_avg,reject_queue_full,reject_budget,reject_sampling
TRADITIONAL,60,120,3.83,0.0000,12175.00,29.38,0.1111,2.16,1.0000,0.0000,254.24,0.0000,0,0,0
TRADITIONAL,100,120,6.07,0.0000,11923.00,27.48,0.1236,2.92,0.9875,0.0000,412.83,0.0000,0,0,0
TRADITIONAL,140,120,7.88,0.0102,12933.00,30.73,0.1216,2.88,0.9898,0.0000,518.28,0.0000,0,0,0
OBJECT_POOL,60,120,4.25,0.1222,11276.00,13.54,0.0613,2.79,0.8963,0.0778,238.83,0.0000,0,0,62
OBJECT_POOL,100,120,6.05,0.2950,11331.00,11.81,0.0456,1.84,0.9337,0.0513,232.27,0.0000,0,0,236
OBJECT_POOL,140,120,15.67,0.7490,8915.00,8.30,0.0381,31.50,0.5617,0.4367,164.06,0.0000,0,0,1467
